country,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977
尼加拉瓜,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,6,4,43,5,6,1,148,6,1,5,6,18,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
美国,39381,32694,37977,39396,42341,48329,30151,11194,6491,5371,7957,7834,11673,14939,9877,2795,1396,865,765,398,346,357,176,57,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
秘鲁,1164,363,502,444,248,69,97,173,371,3131,2499,1826,296,292,700,537,7105,6305,3753,1218,1360,172,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
加拿大,1248,1535,2845,3337,1952,1292,865,347,100,17,34,62,59,120,198,11,26,6,6,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
巴拉圭,-1,-1,2,14,6,11,2,9,124,807,113,6,304,282,797,770,207,57,132,103,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
智利,3,4,1,5,6,7,3,3,1,4,7,5,38,6,9,3564,46,15,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西班牙,-1,-1,-1,-1,-1,49,910,1066,624,688,297,114,5,19,841,1874,678,371,210,129,33,44,34,23,9,2,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
英国,5367,10147,14921,12560,11010,11853,5665,2359,631,184,1,12,4,19,1,2,124,1,16,8,55,94,19,28,29,135,30,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
葡萄牙,468,394,1169,923,800,815,2210,4246,1800,1016,762,836,623,706,1367,880,478,431,277,332,444,895,832,334,54,65,78,34,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
土耳其,971,480,99,47,1746,830,257,193,199,93,107,69,36,641,438,958,898,1871,12395,6093,309,8,2,39,73,7,152,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
苏联,18548,16567,14164,10361,6413,3834,9471,14881,2160,3079,3167,391,11,7,12,305,79,70,70,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
斯洛伐克,4,8,6,7,1,1,5,19,3,2,1,3,35,5,36,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
希腊,16,27,102,24,7,27,12,8,9,10,9,2,3,4,831,329,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
德国,24,7,4,5,2,2,3,1,1,1,2,7,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
罗马尼亚,28,6,4,9,4,5,13,10,6,7,3,15,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
意大利,195,112,60,98,6,2,4,2878,3116,772,44,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
波兰,77,69,36,27,20,22,14,5,6,7,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
芬兰,2,1,2,1,3,5,4,2,1,2,38,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
瑞士,329,54,1,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,0,0,0,0,0,0,0,0,0
荷兰,2,15,700,2,1,2,2,52,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
